Accident_Index,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Road_Type,Speed_limit,Junction_Detail,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
200904FL09003,4,1,2,2,3,82,6,50,0,1,2,4,0,0,2,1
200742I177705,42,1,2,5,1,451,6,60,0,6,1,1,0,0,2,1
2008608157281,60,1,1,1,1,724,1,40,1,4,2,2,4,0,1,1
2013100709113,10,1,2,1,2,139,6,60,0,1,2,2,0,0,2,1
2007100566007,10,1,1,2,2,148,3,70,0,1,1,1,0,0,2,1
200734WS80367,34,1,2,2,3,385,6,60,0,7,1,1,0,0,2,1
2012100537812,10,1,2,1,7,150,6,30,3,1,1,1,0,2,1,1
201250CH3C001,50,1,2,3,5,588,6,60,0,1,1,1,0,0,2,1
200997BF70206,97,1,1,1,2,920,6,30,0,6,1,1,0,0,2,1
2007557E02349,55,1,1,2,6,644,6,30,0,1,1,1,0,0,2,1
2014160D04771,16,1,2,1,2,228,3,40,0,1,1,1,0,0,1,1
200943P180059,43,1,2,1,7,484,6,40,8,1,1,1,0,0,2,1
200901TC00230,1,1,2,1,7,17,6,30,0,4,1,1,0,0,1,1
201414C067414,14,1,2,2,1,213,6,60,0,4,1,1,0,0,2,1
201020H010912,20,1,1,1,3,307,3,40,5,1,1,1,0,0,1,1
201001TB00484,1,1,1,2,3,19,6,30,0,1,1,1,0,0,1,1
201154A411511,54,1,1,1,5,635,6,60,0,6,1,1,0,0,2,1
201020T007300,20,1,2,1,6,300,3,30,8,1,2,2,0,0,1,1
200843N106048,43,1,1,1,4,478,6,40,0,6,1,1,0,0,2,1
2009130760709,13,1,1,4,2,202,6,30,3,4,1,1,0,0,1,1
201037G029229,37,1,1,1,5,412,6,30,3,1,1,1,0,0,1,1
2006360038052,36,1,2,1,3,401,6,60,0,6,1,1,0,0,2,1
2007530189974,53,1,1,1,4,625,3,70,0,1,1,2,0,0,2,1
2008620184976,62,1,1,1,3,743,3,70,0,6,9,1,0,2,2,1
201350BU2A002,50,1,2,2,6,596,6,60,0,1,2,2,0,0,2,1
200614G081406,14,1,1,3,2,215,6,30,0,4,1,1,0,0,1,1
2008620180916,62,1,2,2,2,745,6,60,0,1,1,1,0,0,2,1
200806P087450,6,1,1,1,6,106,6,30,3,4,1,2,0,0,1,1
201101TD00058,1,1,1,1,3,9,6,30,0,1,1,1,0,0,1,1
200737L014108,37,1,2,1,2,416,6,30,0,1,1,1,0,0,1,1
2008130884508,13,1,2,2,3,206,6,30,0,1,1,1,0,0,1,1
2008070309675,7,1,3,2,1,121,6,60,0,1,1,1,0,0,2,1
2013030000472,3,1,1,1,2,64,6,60,0,1,1,1,0,0,2,1
200943W038089,43,1,1,1,7,471,6,60,3,1,1,1,0,0,2,1
200806P094568,6,1,4,1,2,106,6,30,3,1,1,1,0,0,1,1
200842I339309,42,1,1,1,6,452,6,30,0,1,1,1,0,0,1,1
200897LB70609,97,1,3,2,2,913,6,60,3,1,2,2,0,0,2,1
2013100653313,10,1,1,1,3,146,6,30,0,4,1,2,0,0,1,1
200801PL73486,1,1,2,2,4,7,6,30,3,1,1,1,0,0,1,1
2011610054111,61,1,2,3,1,732,6,60,0,1,1,1,0,0,2,1
201497GE70510,97,1,2,1,5,926,6,30,3,4,2,2,0,0,1,1
200505CH00177,5,1,2,1,6,90,6,30,3,4,1,2,0,0,1,1
2014360084689,36,1,1,1,2,406,6,60,0,1,1,1,0,0,2,1
200543N061035,43,1,2,1,4,476,6,40,8,1,1,1,0,0,1,1
200901BS77057,1,1,2,1,5,12,6,30,0,1,1,1,0,0,1,1
201211SC18332,11,1,1,2,1,169,6,60,0,1,1,2,0,0,2,1
201045EL55822,45,1,2,2,1,510,3,70,0,6,1,1,0,0,2,1
2006470606348,47,1,1,1,4,556,6,60,7,1,1,1,0,0,2,1
200697AC70212,97,1,1,1,1,926,3,60,5,4,5,2,0,0,1,1
200530B000644,30,1,3,1,6,325,6,60,0,1,1,1,0,0,2,1
2010360058568,36,1,2,2,5,406,6,60,6,1,1,1,0,0,2,1
20053102A1374,31,1,2,1,6,340,6,60,0,4,1,1,0,0,2,1
2011120009556,12,1,2,1,3,187,3,70,3,6,1,1,0,0,2,1
201143W176051,43,1,1,1,2,471,6,50,6,6,1,1,0,0,2,1
2005330507049,33,1,1,1,5,363,6,60,0,1,1,1,0,0,2,1
200501TC00320,1,1,1,1,6,32,6,30,6,1,1,1,0,0,1,1
201320J005913,20,1,1,1,6,303,3,40,0,4,1,1,0,0,1,1
201034TK80010,34,1,1,1,4,383,1,30,1,1,1,2,0,0,1,1
200920Z009201,20,1,1,2,7,300,3,70,0,1,1,1,0,0,2,1
2008610071408,61,1,1,2,6,734,6,30,0,1,1,1,0,0,1,1
200550D21N119,50,1,1,1,1,580,6,60,0,1,1,1,0,0,2,1
201120K007961,20,1,1,1,3,305,3,40,0,1,1,1,0,0,1,1
2005350392505,35,1,1,4,1,394,7,70,0,1,1,1,0,0,2,1
2009070245376,7,1,4,4,2,129,6,40,0,6,1,2,0,0,2,1
200945SU45706,45,1,1,2,3,515,6,40,3,1,1,2,0,0,1,1
200820M061403,20,1,1,1,7,302,3,50,0,1,1,1,0,0,1,1
2013130463355,13,1,1,1,1,204,3,40,0,4,1,2,0,0,1,1
200743P261107,43,1,1,1,7,484,6,60,0,6,1,1,0,0,2,1
2008330807340,33,1,1,1,2,363,6,30,3,1,2,2,0,0,1,1
2009070281074,7,1,2,1,5,129,6,60,0,1,5,2,0,0,2,1
2005620134053,62,1,1,1,1,745,6,30,9,1,1,1,0,0,1,1
201322D301567,22,1,2,1,7,278,6,30,3,4,1,2,0,0,1,1
2014930000138,93,1,1,1,5,912,3,70,3,4,2,2,0,0,2,1
2014460245462,46,1,1,2,4,535,6,30,0,1,1,1,0,0,1,1
2005070504468,7,1,1,1,3,128,6,30,3,4,1,2,0,0,1,1
201423M066794,23,1,1,2,1,292,3,70,0,1,1,1,0,0,2,1
200834WD80198,34,1,2,1,4,381,6,60,0,1,1,1,0,0,2,1
2005981116405,98,1,2,2,7,917,6,60,3,1,1,1,0,0,2,1
200543N223035,43,1,2,2,3,477,6,60,0,1,2,2,0,0,2,1
20083108B0079,31,1,4,13,1,341,6,60,0,6,1,1,0,0,2,1
201401TD00003,1,1,1,1,5,5,6,30,3,1,2,2,0,0,1,1
201120M017411,20,1,1,2,7,302,3,40,3,1,1,2,0,0,2,1
2006530187004,53,1,2,3,4,622,6,50,0,1,1,1,0,0,2,1
200642B014705,42,1,2,2,5,450,3,70,0,1,1,1,0,0,1,1
2007120940221,12,1,1,2,4,181,6,60,0,1,1,1,0,0,2,1
2005230590192,23,1,1,1,6,293,6,40,8,6,1,1,0,0,2,1
20114100G0599,41,1,1,1,6,433,6,60,0,6,1,1,0,0,2,1
2011100189611,10,1,1,2,5,139,6,40,0,4,1,1,0,0,2,1
200522FD44413,22,1,1,2,1,283,6,60,0,6,1,1,0,0,2,1
200845EL30757,45,1,1,2,3,510,3,40,0,4,1,1,0,0,1,1
2013360075188,36,1,1,1,2,400,6,60,3,7,5,2,0,0,2,1
2007170S13027,17,1,2,1,2,245,6,60,3,1,1,1,0,0,2,1
2009520902250,52,1,2,5,3,611,6,40,0,1,1,1,0,0,2,1
2014961402032,96,1,3,1,4,939,6,60,8,1,1,2,5,0,2,1
201201TD00032,1,1,2,1,3,22,6,30,3,1,1,1,0,0,1,1
201301TD00079,1,1,1,3,3,15,6,30,3,1,1,1,0,0,1,1
200801WW73704,1,1,2,1,7,10,6,30,3,4,1,1,0,0,1,1
20104100D0210,41,1,2,2,3,431,6,30,6,4,2,2,0,0,1,1
201032B269810,32,1,2,2,6,355,6,60,3,1,1,1,0,0,2,1
2009360052583,36,1,2,2,6,405,6,40,0,1,1,2,0,0,2,1
201030D000020,30,1,1,2,7,328,2,30,0,4,1,3,0,0,1,1
201405AA04593,5,1,2,1,5,95,6,30,0,1,1,1,0,0,1,1
2011120055561,12,1,2,4,5,187,6,60,0,1,1,1,0,0,2,1
201060L044859,60,1,1,1,3,720,6,60,0,1,1,1,0,0,2,1
2010520007955,52,1,1,1,3,606,6,60,0,6,1,1,0,0,2,1
200614A207506,14,1,1,1,2,211,6,30,3,1,1,1,0,0,1,1
2007130733507,13,1,1,3,4,204,6,30,0,4,1,1,0,0,1,1
2009530199582,53,1,2,2,5,624,6,30,8,4,1,1,0,0,1,1
2006360037876,36,1,2,1,5,400,6,40,9,1,1,1,0,0,1,1
2009160C00660,16,1,1,1,7,231,6,60,0,1,1,4,0,0,2,1
201434TK80174,34,1,1,4,5,383,6,60,0,1,1,1,0,0,2,1
200514B058705,14,1,2,1,4,210,6,30,3,1,1,1,0,0,1,1
2014546476514,54,1,2,1,5,635,6,30,3,1,1,1,0,0,1,1
2006950006442,95,1,2,2,3,923,6,30,0,1,1,1,0,0,1,1
200737G022362,37,1,1,1,4,415,1,60,1,1,1,1,0,0,1,1
200832D383708,32,1,1,1,2,356,1,60,1,4,1,1,0,0,2,1
2005120840380,12,1,2,2,6,185,6,60,0,1,1,1,0,0,2,1
200504CM05054,4,1,1,1,4,83,3,70,0,4,1,1,0,0,2,1
200905EE30780,5,1,1,1,6,91,6,30,3,1,1,1,0,0,1,1
2008350065308,35,1,1,2,4,392,6,60,0,1,1,1,0,0,2,1
20094100C0287,41,1,1,2,6,436,6,30,3,4,1,1,0,0,1,1
2011440159555,44,1,1,1,1,496,6,30,0,1,1,1,0,0,2,1
201120S027741,20,1,2,1,4,300,6,30,8,1,1,1,0,0,1,1
2006216026687,21,1,2,1,3,252,3,70,0,6,8,1,0,0,2,1
2013521304902,52,1,2,1,1,601,6,30,3,1,1,1,0,0,1,1
20084100C1235,41,1,5,2,1,437,6,40,0,4,1,2,0,0,1,1
2008070013601,7,1,1,3,2,128,3,40,0,4,1,2,0,0,2,1
2010471007999,47,1,3,2,6,560,3,70,0,6,1,1,0,0,1,1
200701XD67625,1,1,3,1,7,27,6,30,3,1,1,1,0,0,1,1
201131A197011,31,1,1,2,7,340,6,60,0,4,1,1,0,0,1,1
2011130368341,13,1,2,3,4,202,6,30,0,1,1,1,0,0,2,1
2008950007541,95,1,1,1,5,923,6,30,3,1,1,1,0,0,1,1
20083108B1011,31,1,1,1,2,345,6,60,6,1,1,1,0,0,2,1
2008330808356,33,1,1,1,7,363,3,70,5,4,2,2,0,0,2,1
2007350543607,35,1,3,1,6,391,3,70,0,6,1,1,0,0,2,1
201243P199012,43,1,2,3,3,483,3,70,5,6,1,2,0,0,2,1
2010471003591,47,1,2,3,6,556,6,60,0,1,1,1,0,0,2,1
2007460136309,46,1,2,2,5,543,3,60,5,4,5,2,0,0,2,1
200634WN08016,34,1,1,1,6,384,6,40,0,1,1,1,0,0,1,1
200722CA86641,22,1,3,1,3,277,6,50,0,6,1,1,0,0,2,1
201101TD00060,1,1,2,1,3,8,6,30,3,1,1,1,0,0,1,1
200897QD02607,97,1,1,1,6,938,3,30,3,1,1,1,0,0,1,1
2014440446551,44,1,2,4,2,501,6,60,3,6,1,2,0,0,2,1
2013621300425,62,1,1,2,6,742,1,30,1,4,1,2,0,0,2,1
2005130633105,13,1,1,1,1,200,3,50,0,1,1,1,0,0,1,1
200801SX70318,1,1,2,4,7,30,3,70,0,4,1,1,4,0,1,1
2006330608465,33,1,2,1,4,364,6,40,0,4,2,2,0,0,1,1
200543N001015,43,1,1,1,1,476,6,60,0,7,9,1,0,0,2,1
2005440707703,44,1,1,1,5,490,6,60,3,7,9,1,0,0,2,1
20053102D1780,31,1,1,4,1,343,6,60,0,6,1,2,0,0,2,1
20083102P2841,31,1,1,1,4,340,3,70,5,4,7,2,4,0,2,1
2012030002666,3,1,2,2,5,60,6,60,0,6,2,2,0,0,2,1
20144100J0227,41,1,1,1,2,33,6,30,0,1,1,1,0,0,1,1
2010120193164,12,1,3,2,2,180,6,60,0,6,5,2,0,0,2,1
201434TE80154,34,1,1,1,7,382,1,70,1,4,8,2,0,0,2,1
201411SA15134,11,1,2,1,1,169,6,60,0,1,1,1,0,0,2,1
201142I112604,42,1,1,1,3,460,6,30,0,4,1,1,0,0,2,1
201401TD00137,1,1,1,1,6,21,6,30,0,4,1,2,0,0,1,1
2013440236585,44,1,2,2,6,501,6,60,0,1,1,2,0,0,2,1
2010530201029,53,1,2,1,2,622,6,50,0,6,1,1,0,0,2,1
201006K029025,6,1,2,2,6,100,6,60,0,6,2,2,0,0,2,1
201105FF01391,5,1,2,3,5,91,6,30,3,1,1,1,0,0,1,1
200505BS01428,5,1,1,1,4,93,7,70,5,4,1,2,4,0,2,1
2012212006275,21,1,1,1,5,251,6,50,0,6,5,5,0,0,2,1
200650F52C761,50,1,1,3,4,584,3,70,5,6,2,2,0,0,2,1
2009440233933,44,1,1,1,1,495,1,30,1,1,1,1,0,0,1,1
2010521007485,52,1,2,9,5,605,6,50,3,1,1,1,0,0,2,1
200742I227906,42,1,2,3,7,456,6,60,0,1,1,2,6,0,2,1
200663DP21806,63,1,2,3,1,753,6,60,0,1,1,1,0,0,2,1
201306M071494,6,1,1,1,2,112,6,30,3,4,1,1,0,0,1,1
201101TD00213,1,1,1,1,2,26,3,70,0,4,1,1,0,0,2,1
2010070234920,7,1,2,1,5,128,1,40,1,1,1,1,0,0,1,1
200611AB19870,11,1,1,1,6,168,6,60,0,1,2,2,0,0,2,1
2008120040068,12,1,3,1,5,184,6,60,0,1,1,1,0,0,2,1
2006920601246,92,1,2,2,2,911,6,60,9,1,1,2,0,0,2,1
200545EL77996,45,1,2,1,6,510,6,30,3,1,9,1,0,0,1,1
200743R001037,43,1,1,1,6,474,6,60,0,6,2,2,0,0,2,1
200542D004302,42,1,1,1,6,461,6,30,0,1,1,1,0,0,1,1
201250AC3J024,50,1,2,2,2,596,3,70,0,6,5,2,0,0,2,1
2014131BJ0512,13,1,1,1,4,200,9,20,0,1,1,1,0,0,1,1
2013300002113,30,1,3,7,7,329,6,50,3,1,1,1,0,0,2,1
200742I498912,42,1,1,1,3,450,7,70,5,1,1,1,0,0,1,1
2009930001245,93,1,2,3,1,918,3,50,1,4,1,1,0,0,1,1
2005130163005,13,1,1,1,1,204,6,30,0,4,1,2,0,0,1,1
200850BL2K061,50,1,1,2,1,593,3,70,0,6,1,1,0,2,2,1
201001TB00027,1,1,1,1,1,2,6,30,3,1,2,2,0,0,1,1
200754EV14307,54,1,4,2,4,632,6,60,0,1,1,1,0,0,2,1
2008218018210,21,1,1,1,1,257,6,30,3,4,1,2,0,0,1,1
2012120124952,12,1,2,1,3,181,6,60,0,1,1,1,0,0,2,1
2010231091156,23,1,3,5,2,293,3,70,0,6,1,2,0,0,2,1
2008960800235,96,1,1,5,4,915,9,60,0,1,8,2,6,0,2,1
2010520008084,52,1,4,2,6,607,3,70,0,6,1,1,0,0,2,1
20141315V0258,13,1,1,1,7,206,6,30,0,4,1,1,0,0,2,1
20073104C2783,31,1,4,2,6,346,6,30,0,1,1,1,0,0,1,1
200763AC53407,63,1,2,1,1,751,6,60,0,6,1,1,0,0,2,1
2014074041455,7,1,2,2,5,129,6,60,0,1,1,1,0,2,2,1
200532D505005,32,1,4,2,4,356,6,60,0,1,1,1,0,0,2,1
200901TC00034,1,1,1,1,6,4,6,30,3,1,1,1,0,0,1,1
201050KT2M008,50,1,2,1,7,586,3,40,8,1,1,1,0,0,2,1
2010400D03127,40,1,2,1,3,424,6,30,3,1,1,2,0,0,2,1
2005950008205,95,1,3,2,3,914,6,60,0,1,1,1,0,0,2,1
201143N007091,43,1,3,3,2,480,3,70,0,6,1,1,0,0,2,1
200914A118709,14,1,1,1,6,211,6,30,0,1,1,2,0,0,2,1
200605DD05016,5,1,2,2,7,92,6,30,0,4,2,2,0,0,1,1
200743S001017,43,1,1,3,2,479,3,70,0,4,1,2,0,0,1,1
2011100271611,10,1,3,1,5,149,6,30,7,4,1,1,0,0,1,1
200750A51B356,50,1,4,1,4,591,6,60,0,1,1,2,0,0,2,1
200543W397035,43,1,3,3,4,471,6,60,0,1,2,2,0,0,2,1
2005170M12195,17,1,2,3,5,243,6,30,3,1,1,1,0,0,1,1
200637B026755,37,1,1,1,1,414,1,70,1,5,1,2,0,0,2,1
2007982107207,98,1,2,4,5,917,6,60,9,1,1,1,0,0,2,1
201142I032402,42,1,1,4,2,455,2,30,0,1,1,1,0,0,1,1
2014930000045,93,1,2,1,3,934,3,70,0,1,1,1,0,0,2,1
201234TD80202,34,1,2,5,7,381,6,60,0,1,1,1,0,0,2,1
201222C202402,22,1,2,1,6,277,6,60,0,1,1,2,0,0,1,1
2007520710103,52,1,1,1,2,605,6,30,0,1,1,1,0,0,1,1
2006330601317,33,1,2,2,7,363,6,60,0,6,1,1,0,0,2,1
2007460150301,46,1,1,1,6,538,6,30,0,4,5,2,0,0,1,1
2013460226399,46,1,2,1,4,531,3,70,0,1,1,1,0,0,2,1
201243W158092,43,1,1,1,7,472,6,30,0,4,1,1,0,0,1,1
200701TD00059,1,1,1,2,6,18,6,30,3,1,2,2,0,0,1,1
200522FD44263,22,1,1,1,7,283,6,60,0,6,1,1,0,0,2,1
201150JT2V016,50,1,2,3,7,589,6,30,3,1,1,1,0,0,1,1
200620D313302,20,1,1,1,6,300,6,30,3,4,2,2,0,0,1,1
2005131194105,13,1,2,1,4,200,6,30,0,4,1,2,0,0,1,1
2008470802024,47,1,1,1,3,560,6,30,0,4,1,1,0,0,1,1
200801CW73971,1,1,1,1,3,1,3,30,3,1,1,1,0,0,1,1
2007217002373,21,1,2,1,7,255,6,30,3,4,1,2,0,0,1,1
2011160C06291,16,1,2,2,2,231,6,60,0,1,1,1,0,0,2,1
2013160C02081,16,1,3,2,7,231,6,50,0,6,1,1,0,0,2,1
201205EE01290,5,1,1,1,6,91,6,40,9,4,2,2,0,0,1,1
200537B022832,37,1,2,1,3,410,6,60,3,1,1,1,0,0,2,1
200530C000176,30,1,1,1,5,327,6,30,0,1,1,1,0,0,1,1
2005460106531,46,1,1,1,3,542,3,60,3,6,1,1,0,0,2,1
200811ND14648,11,1,1,1,1,163,3,70,0,1,1,2,0,0,2,1
201220J011502,20,1,2,1,5,303,3,40,6,1,1,1,0,0,1,1
2006030001629,3,1,2,7,1,64,6,60,0,1,2,2,0,0,2,1
201343R205043,43,1,2,2,1,470,6,60,0,1,1,1,0,0,2,1
201397GD00109,97,1,2,4,1,926,6,30,6,1,1,1,0,0,1,1
200534TM08516,34,1,1,5,1,381,3,70,0,1,1,1,0,0,2,1
2010351998610,35,1,1,1,5,395,6,60,0,6,1,1,0,0,2,1
200850GA2C001,50,1,1,1,1,595,6,30,0,4,1,1,0,0,2,1
2006950007459,95,1,1,1,1,940,6,30,0,4,1,1,0,0,1,1
200797AE04712,97,1,1,1,2,926,6,30,0,1,1,1,0,0,1,1
2006620159876,62,1,1,4,7,744,6,60,0,6,1,1,0,0,2,1
200742I143404,42,1,2,2,1,463,6,60,0,1,1,1,0,0,2,1
2008470808432,47,1,2,2,1,556,6,60,3,6,1,1,0,0,2,1
2007070701089,7,1,1,1,3,121,6,30,3,4,1,1,0,0,1,1
2007920700339,92,1,1,2,7,910,3,30,0,4,1,2,0,0,1,1
200611BD10650,11,1,4,1,5,163,6,30,3,1,1,1,0,0,2,1
200934TW80309,34,1,1,4,1,386,3,70,0,6,1,2,0,0,2,1
200522FC42576,22,1,2,2,6,281,6,60,0,6,4,1,0,0,2,1
2008130255708,13,1,1,1,3,204,3,40,0,4,1,1,0,0,1,1
20054100F4338,41,1,2,6,1,434,6,60,0,6,1,1,0,0,2,1
200901TB00093,1,1,1,1,6,28,6,30,3,1,1,1,0,0,1,1
2010520008463,52,1,2,1,2,610,6,60,0,1,1,1,0,0,2,1
200530D000582,30,1,2,1,1,323,6,30,6,1,1,1,0,0,1,1
2009920900144,92,1,1,1,1,911,6,60,0,1,4,2,0,0,2,1
2008470805538,47,1,3,1,1,562,6,50,3,1,1,1,0,0,2,2
2013471304066,47,1,2,1,2,557,6,30,3,1,1,1,0,0,1,1
2007130556507,13,1,1,1,7,206,6,40,3,1,1,1,0,0,1,1
2007360043365,36,1,1,1,6,401,3,70,0,6,9,2,0,0,2,1
201363AC05313,63,1,2,17,3,751,9,60,0,1,5,2,0,0,2,1
2010460189012,46,1,2,2,7,538,3,70,0,1,1,1,0,0,2,1
201320J003523,20,1,2,2,3,303,3,40,5,1,1,1,0,0,1,1
2011331104282,33,1,1,1,5,366,6,60,0,6,1,1,0,0,2,1
2006100256706,10,1,2,1,2,148,6,40,3,1,1,1,0,0,2,1
2009120035863,12,1,5,7,3,185,6,60,0,1,5,2,0,0,2,1
2007030000844,3,1,2,2,1,60,6,60,0,1,1,1,0,0,2,1
2011360061644,36,1,2,5,6,406,6,50,8,6,1,1,0,0,2,1
200763DP11607,63,1,2,3,6,753,6,60,0,6,2,2,0,0,2,1
2011440348223,44,1,2,1,2,500,6,60,0,6,1,1,0,0,2,1
2012130295712,13,1,6,1,2,203,6,30,0,1,2,2,0,0,1,1
201191NJ11367,91,1,2,2,3,927,6,60,0,1,8,1,0,0,2,1
200832D382908,32,1,1,2,2,356,6,60,0,6,1,1,0,0,2,1
2005470509535,47,1,2,1,6,565,3,30,0,4,1,2,0,0,1,2
2012521300131,52,1,1,1,2,605,6,30,3,1,1,1,0,0,1,1
200597KB70403,97,1,1,1,4,935,6,30,3,1,1,1,0,0,1,1
